# x0 y0 zi zf ux uy uz E deltaE deltaX
0.0 0.0 -10.0 -9.86668238741 0.0 0.0 1.0 2.447 0.01 0.133317612588
-0.0112027864223 -0.00168047747431 -9.86668238741 -9.73517300668 -0.167899034549 -0.0251857470885 0.985482416049 2.437 0.01 0.133446704472
-0.0275139693019 -0.000911167457479 -9.73517300668 -9.60207840768 -0.0764867127035 0.0366800411015 0.996395683132 2.427 0.01 0.133576049403
-0.0390981465046 -0.0056300181102 -9.60207840768 -9.46977610635 -0.0968662283306 -0.10723014978 0.98950423384 2.417 0.01 0.133705644514
-0.0554095018718 -0.0132420517092 -9.46977610635 -9.33739711615 -0.14698007007 -0.00662597739097 0.989117260706 2.407 0.01 0.133835486911
-0.0790078439758 -0.0152961169635 -9.33739711615 -9.20632941293 -0.205467227207 -0.0240460254811 0.978368543649 2.397 0.01 0.133965573674
-0.104521688304 -0.0238485151015 -9.20632941293 -9.07504114499 -0.175263772919 -0.103533788023 0.979062492714 2.387 0.01 0.13409590186
-0.11659311634 -0.0297114085949 -9.07504114499 -8.94083354906 -0.00477329386261 0.0160748451128 0.999859397626 2.377 0.01 0.134226468498
-0.115928255277 -0.0290160820356 -8.94083354906 -8.80649291755 0.0146655591893 -0.00570878352375 0.999876157914 2.367 0.01 0.134357270592
-0.115033985758 -0.0239875409783 -8.80649291755 -8.67244102454 -0.00135242590385 0.0804835682749 0.996755018137 2.357 0.01 0.134488305119
-0.119144150534 -0.0216961560127 -8.67244102454 -8.53820668617 -0.0597122999299 -0.0463627153227 0.997138375485 2.347 0.01 0.134619569032
-0.128473534055 -0.0361222480844 -8.53820668617 -8.40579140786 -0.0788143931388 -0.167797236717 0.982665954831 2.337 0.01 0.134751059255
-0.144289406984 -0.0627425172791 -8.40579140786 -8.27612373651 -0.155775437296 -0.227083729017 0.961336045902 2.327 0.01 0.134882772686
-0.166982389945 -0.0845850324116 -8.27612373651 -8.14397075527 -0.180532504264 -0.0966957424931 0.978804346276 2.317 0.01 0.135014706198
-0.198960934678 -0.0955803133965 -8.14397075527 -8.01505971302 -0.292885439074 -0.0661148540857 0.953858975765 2.307 0.01 0.135146856634
-0.248230502185 -0.109935535647 -8.01505971302 -7.89492009202 -0.43581407562 -0.146180837507 0.888086287608 2.297 0.01 0.135279220811
-0.317844868025 -0.125108605484 -7.89492009202 -7.78637980793 -0.592800226914 -0.0780649118258 0.801557084999 2.287 0.01 0.13541179552
-0.391353743067 -0.14117530252 -7.78637980793 -7.67039525844 -0.492425504528 -0.159080389563 0.855693024482 2.277 0.01 0.135544577523
-0.455994286213 -0.174875190157 -7.67039525844 -7.559054979 -0.460912458045 -0.337839874751 0.820624107035 2.267 0.01 0.135677563554
-0.51471465555 -0.218203050748 -7.559054979 -7.44173563634 -0.404277711636 -0.300553748559 0.863844300844 2.257 0.01 0.135810750321
-0.573027001796 -0.255710959826 -7.44173563634 -7.32553728038 -0.454005855884 -0.25155471532 0.854750787086 2.247 0.01 0.135944134501
-0.62952434004 -0.292925718143 -7.32553728038 -7.2060828156 -0.376808533281 -0.295655532193 0.877840039831 2.237 0.01 0.136077712744
-0.684354711965 -0.337068684887 -7.2060828156 -7.09278880471 -0.428638612421 -0.352788210775 0.831750815016 2.227 0.01 0.136211481673
-0.736601430072 -0.397044023442 -7.09278880471 -6.98651097794 -0.338169992559 -0.527314102481 0.779474754856 2.217 0.01 0.136345437881
-0.773770292076 -0.463557990722 -6.98651097794 -6.8677980997 -0.206842582025 -0.447913624021 0.869821551629 2.207 0.01 0.136479577932
-0.806010774668 -0.531472654699 -6.8677980997 -6.75931133315 -0.265354969927 -0.546783793555 0.794112223203 2.197 0.01 0.13661389836
-0.839119981272 -0.605595159414 -6.75931133315 -6.64798763873 -0.219141410543 -0.537825277353 0.814076785829 2.187 0.01 0.136748395674
-0.872052368435 -0.68361355724 -6.64798763873 -6.54481917471 -0.262249662922 -0.602631530856 0.753697785797 2.177 0.01 0.136883066348
-0.912582699016 -0.77622307861 -6.54481917471 -6.46620013424 -0.329614750341 -0.749748651801 0.573786611451 2.167 0.01 0.137017906831
-0.953152946736 -0.876758868482 -6.46620013424 -6.37762651741 -0.262315771205 -0.717028798632 0.645801934117 2.157 0.01 0.13715291354
-0.982500719718 -0.97934990334 -6.37762651741 -6.29445664544 -0.16547811872 -0.778213801699 0.605805472961 2.147 0.01 0.137288082862
-0.991667002578 -1.08892013744 -6.29445664544 -6.21537157336 0.031913106483 -0.817189635782 0.575484711183 2.137 0.01 0.137423411157
-0.98999244321 -1.19530286602 -6.21537157336 -6.12141272326 -0.00753487602072 -0.730337867523 0.683044526297 2.127 0.01 0.137558894751
-0.985756427668 -1.3010794883 -6.12141272326 -6.04061262577 0.0690551782024 -0.806776963054 0.586806879858 2.117 0.01 0.137694529941
-0.971754893651 -1.41200917562 -6.04061262577 -5.96070629893 0.134183455945 -0.803673716982 0.579744216687 2.107 0.01 0.137830312995
-0.950583254538 -1.5220162959 -5.96070629893 -5.87988706567 0.172859175315 -0.791814290781 0.585789923457 2.097 0.01 0.137966240148
-0.926733499797 -1.63472983904 -5.87988706567 -5.80914249232 0.172703696277 -0.841285331816 0.512262065512 2.087 0.01 0.138102307607
-0.909371964454 -1.75634936989 -5.80914249232 -5.75577068531 0.0786487902451 -0.919104340791 0.386084936941 2.077 0.01 0.138238511544
-0.899798313246 -1.87982424103 -5.75577068531 -5.68718117245 0.0598014077896 -0.866444501307 0.495679047147 2.067 0.01 0.138374848104
-0.88780545947 -2.00204306887 -5.68718117245 -5.62863659778 0.113425368989 -0.899157811495 0.422669984381 2.057 0.01 0.138511313399
-0.873605935275 -2.12308714909 -5.62863659778 -5.55621072807 0.0915149182838 -0.847792343287 0.522372627916 2.047 0.01 0.138647903508
-0.851438190674 -2.23864517925 -5.55621072807 -5.48299079677 0.228030590847 -0.818328672375 0.527579599309 2.037 0.01 0.138784614482
-0.820634460771 -2.35260859811 -5.48299079677 -5.41002240086 0.215663771282 -0.823166002969 0.525249340135 2.027 0.01 0.138921442336
-0.791025572995 -2.4699136421 -5.41002240086 -5.3466185574 0.210396904826 -0.864778353615 0.455951249102 2.017 0.01 0.139058383057
-0.761368728057 -2.59229653818 -5.3466185574 -5.29213026563 0.215928324157 -0.894505734042 0.391451721919 2.007 0.01 0.1391954326
-0.739544272704 -2.72099462884 -5.29213026563 -5.25250239995 0.0975556001106 -0.95372569209 0.28441204112 1.997 0.01 0.139332587764
-0.729353913792 -2.85225551051 -5.25250239995 -5.2015113339 0.048670330032 -0.929496195809 0.36560637433 1.987 0.01 0.13946984962
-0.718280292134 -2.97965838306 -5.2015113339 -5.14161993149 0.110017229359 -0.896580055992 0.4289993152 1.977 0.01 0.139607221475
-0.693148501394 -3.10667655531 -5.14161993149 -5.10034660213 0.249772478602 -0.922162256198 0.295348069532 1.967 0.01 0.13974470674
-0.654754923634 -3.23547870928 -5.10034660213 -5.06513758553 0.299414372627 -0.920323770305 0.251704571424 1.957 0.01 0.139882308851
-0.604405465742 -3.36256245419 -5.06513758553 -5.04480371479 0.420055198553 -0.895803798913 0.145221155558 1.947 0.01 0.140020031273
-0.550486601523 -3.48978557457 -5.04480371479 -5.069217791 0.349759765747 -0.920503129267 -0.174189825404 1.937 0.01 0.140157877496
-0.501253714292 -3.6198557868 -5.069217791 -5.07589025103 0.352428013351 -0.934629632003 -0.0475599241728 1.927 0.01 0.140295851037
-0.467844406566 -3.75463348648 -5.07589025103 -5.05986666181 0.123719561507 -0.985735531661 0.114100533396 1.917 0.01 0.140433955441
-0.458235542888 -3.8941008168 -5.05986666181 -5.06384060926 0.0131128348538 -0.999514318115 -0.028269797416 1.907 0.01 0.140572194281
-0.458330757553 -4.03278450508 -5.06384060926 -5.09645538031 -0.0144532801029 -0.972659371054 -0.23178621744 1.897 0.01 0.140710571156
-0.46467298883 -4.16718804233 -5.09645538031 -5.14457927652 -0.0756180482127 -0.93677296148 -0.341669912964 1.887 0.01 0.140849089694
-0.480646448316 -4.3000994152 -5.14457927652 -5.1833142545 -0.151049897463 -0.949579828598 -0.274740018193 1.877 0.01 0.140987753549
-0.494153373947 -4.43501877822 -5.1833142545 -5.22071750877 -0.0405144523112 -0.963387706995 -0.265033403865 1.867 0.01 0.141126566404
-0.50847423477 -4.56755918262 -5.22071750877 -5.27323561429 -0.162276358449 -0.914031949578 -0.371768716596 1.857 0.01 0.14126553197
-0.535763761983 -4.69808865335 -5.27323561429 -5.31305611354 -0.22386107834 -0.933050844829 -0.281606709026 1.847 0.01 0.141404653987
-0.562239855078 -4.83144433494 -5.31305611354 -5.35070161754 -0.150463442189 -0.952168174183 -0.265963382137 1.837 0.01 0.141543936221
-0.573037787226 -4.96604086953 -5.35070161754 -5.39548449808 -0.00210805549121 -0.948731146174 -0.31607715574 1.827 0.01 0.141683382469
-0.571527127841 -5.10277465766 -5.39548449808 -5.42320371856 0.0234094278269 -0.980434356939 -0.1954494063 1.817 0.01 0.141822996555
-0.576524509563 -5.24280919534 -5.42320371856 -5.43265062908 -0.0937904880893 -0.993365547003 -0.0665449800572 1.807 0.01 0.141962782333
-0.594708321724 -5.37884848152 -5.43265062908 -5.48250693597 -0.1622267458 -0.922273786214 -0.350846898532 1.797 0.01 0.142102743684
-0.609662645189 -5.5112002447 -5.48250693597 -5.53072324341 -0.0481977096804 -0.939561169336 -0.338971665271 1.787 0.01 0.14224288452
-0.618996245409 -5.64744231914 -5.53072324341 -5.56000475034 -0.0829551411893 -0.975102746609 -0.205652809622 1.777 0.01 0.142383208781
-0.63039394571 -5.78736048047 -5.56000475034 -5.57766568991 -0.0770677426983 -0.989295425918 -0.123915791136 1.767 0.01 0.142523720438
-0.648730423828 -5.92699341572 -5.57766568991 -5.60164960504 -0.180065738837 -0.969182101647 -0.168114197926 1.757 0.01 0.142664423482
-0.677572287027 -6.06480295205 -5.60164960504 -5.6241067766 -0.224044536664 -0.961807778828 -0.157257248408 1.747 0.01 0.142805319226
-0.718089162101 -6.2004619847 -5.6241067766 -5.6331481034 -0.343058657243 -0.937182065637 -0.0632497710528 1.737 0.01 0.142946395706
-0.764602354306 -6.33515981489 -5.6331481034 -5.61906960138 -0.307415704802 -0.946474955537 0.098390766748 1.727 0.01 0.143087633959
-0.807656015062 -6.46807078979 -5.61906960138 -5.57737902322 -0.294074044815 -0.910381797483 0.291076345618 1.717 0.01 0.143229014638
-0.846783388333 -6.60263104451 -5.57737902322 -5.57939977272 -0.252037945563 -0.967614704501 -0.0140945957792 1.707 0.01 0.143370518243
-0.892837013322 -6.73213017534 -5.57939977272 -5.63415140428 -0.390018885587 -0.838053508835 -0.381512234686 1.697 0.01 0.143512125116
-0.936150440789 -6.85553938999 -5.63415140428 -5.69483445897 -0.21339089207 -0.880920488585 -0.422425638393 1.687 0.01 0.143653815447
-0.956850902589 -6.97962677505 -5.69483445897 -5.7707851482 -0.0747346237997 -0.845833995114 -0.528185184112 1.677 0.01 0.143795569267
-0.979014004311 -7.0910606742 -5.7707851482 -5.86743248067 -0.233293803397 -0.703365776178 -0.671454083462 1.667 0.01 0.14393736645
-1.00974840993 -7.20050021113 -5.86743248067 -5.94580468785 -0.193567969077 -0.816484733572 -0.543952315181 1.657 0.01 0.144079186714
-1.03391385156 -7.32659008283 -5.94580468785 -5.99355901573 -0.141739180519 -0.932882715133 -0.331119079053 1.647 0.01 0.144221009617
-1.06487261829 -7.45709764923 -5.99355901573 -6.04945847389 -0.287302279709 -0.876083263908 -0.387215075602 1.637 0.01 0.14436281456
-1.11064040011 -7.5844504389 -6.04945847389 -6.09341541883 -0.346423605711 -0.88738871018 -0.304190667922 1.627 0.01 0.144504580785
-1.16705563281 -7.71267974498 -6.09341541883 -6.11665889868 -0.433959755357 -0.886485791955 -0.160691852292 1.617 0.01 0.144646287376
-1.24021463303 -7.83246363035 -6.11665889868 -6.15649090495 -0.577032509643 -0.768993002351 -0.275105879892 1.607 0.01 0.144787913254
